stall_ms,period_ms,verdict,tx_events,max_gap_ms,median_gap_ms,p90_gap_ms,capture,transcript,verdict_v2,monotone_prefix_max_ms,it_count,poll_count,verdict_v2,monotone_prefix_max_ms,it_count,poll_count
12,233,FAIL_STUCK,60,2694,900,1544,s12_p233_yield.log,s12_p233_yield.txt,FAIL_STUCK,1056,0,60,FAIL_STUCK,1056,0,60
12,250,FAIL_STUCK,58,3303,880,1500,s12_p250_yield.log,s12_p250_yield.txt,FAIL_STUCK,807,0,58,FAIL_STUCK,807,0,58
12,373,FAIL_STUCK,57,2732,900,1525,s12_p373_yield.log,s12_p373_yield.txt,FAIL_STUCK,2000,0,57,FAIL_STUCK,2000,0,57
12,500,FAIL_STUCK,54,2636,997,1562,s12_p500_yield.log,s12_p500_yield.txt,FAIL_STUCK,1200,0,54,FAIL_STUCK,1200,0,54
15,125,FAIL_STUCK,40,4500,1200,2703,s15_p125_yield.log,s15_p125_yield.txt,FAIL_STUCK,3000,0,40,FAIL_STUCK,3000,0,40
15,145,FAIL_STUCK,68,1908,795,1211,s15_p145_yield.log,s15_p145_yield.txt,FAIL_STUCK,1211,0,68,FAIL_STUCK,1211,0,68
15,150,FAIL_STUCK,47,2653,1098,1952,s15_p150_yield.log,s15_p150_yield.txt,FAIL_STUCK,1938,0,47,FAIL_STUCK,1938,0,47
15,155,FAIL_STUCK,53,2408,976,1804,s15_p155_yield.log,s15_p155_yield.txt,FAIL_STUCK,1504,0,53,FAIL_STUCK,1504,0,53
15,200,FAIL_STUCK,64,2235,686,1564,s15_p200_yield.log,s15_p200_yield.txt,FAIL_STUCK,1635,0,64,FAIL_STUCK,1635,0,64
15,233,FAIL_STUCK,61,1638,998,1316,s15_p233_yield.log,s15_p233_yield.txt,FAIL_STUCK,1338,0,61,FAIL_STUCK,1338,0,61
15,250,FAIL_STUCK,62,2413,808,1806,s15_p250_yield.log,s15_p250_yield.txt,FAIL_STUCK,1385,0,62,FAIL_STUCK,1385,0,62
15,373,FAIL_STUCK,59,2703,901,1502,s15_p373_yield.log,s15_p373_yield.txt,FAIL_STUCK,1476,0,59,FAIL_STUCK,1476,0,59
15,500,FAIL_STUCK,64,2321,829,1500,s15_p500_yield.log,s15_p500_yield.txt,FAIL_STUCK,1650,0,64,FAIL_STUCK,1650,0,64
20,125,FAIL_STUCK,77,1500,750,900,s20_p125_yield.log,s20_p125_yield.txt,FAIL_STUCK,900,0,77,FAIL_STUCK,900,0,77
20,145,FAIL_STUCK,67,1968,795,1313,s20_p145_yield.log,s20_p145_yield.txt,FAIL_STUCK,846,0,67,FAIL_STUCK,846,0,67
20,150,FAIL_STUCK,58,1955,881,1679,s20_p150_yield.log,s20_p150_yield.txt,FAIL_STUCK,1021,0,58,FAIL_STUCK,1021,0,58
20,155,FAIL_STUCK,62,2000,900,1414,s20_p155_yield.log,s20_p155_yield.txt,FAIL_STUCK,891,0,62,FAIL_STUCK,891,0,62
20,200,FAIL_STUCK,58,2250,900,1411,s20_p200_yield.log,s20_p200_yield.txt,FAIL_STUCK,1350,0,58,FAIL_STUCK,1350,0,58
20,233,FAIL_STUCK,71,2418,827,1212,s20_p233_yield.log,s20_p233_yield.txt,FAIL_STUCK,1310,0,71,FAIL_STUCK,1310,0,71
20,250,FAIL_STUCK,61,3520,880,1519,s20_p250_yield.log,s20_p250_yield.txt,FAIL_STUCK,1142,0,61,FAIL_STUCK,1142,0,61
20,373,FAIL_STUCK,53,2400,1031,1650,s20_p373_yield.log,s20_p373_yield.txt,FAIL_STUCK,1088,0,53,FAIL_STUCK,1088,0,53
20,500,FAIL_STUCK,60,2550,900,1350,s20_p500_yield.log,s20_p500_yield.txt,FAIL_STUCK,762,0,60,FAIL_STUCK,762,0,60
30,125,FAIL_STUCK,85,1439,616,845,s30_p125_yield.log,s30_p125_yield.txt,FAIL_STUCK,1285,0,85,FAIL_STUCK,1285,0,85
30,145,FAIL_STUCK,65,1591,870,1218,s30_p145_yield.log,s30_p145_yield.txt,FAIL_STUCK,895,0,65,FAIL_STUCK,895,0,65
30,150,FAIL_STUCK,70,2040,774,1100,s30_p150_yield.log,s30_p150_yield.txt,FAIL_STUCK,774,0,70,FAIL_STUCK,774,0,70
30,155,FAIL_STUCK,56,2385,921,1635,s30_p155_yield.log,s30_p155_yield.txt,FAIL_STUCK,2385,0,56,FAIL_STUCK,2385,0,56
30,200,FAIL_STUCK,35,4830,1603,2870,s30_p200_yield.log,s30_p200_yield.txt,FAIL_STUCK,2981,0,35,FAIL_STUCK,2981,0,35
30,233,FAIL_STUCK,57,2210,992,1593,s30_p233_yield.log,s30_p233_yield.txt,FAIL_STUCK,918,0,57,FAIL_STUCK,918,0,57
30,250,FAIL_STUCK,66,1875,825,1200,s30_p250_yield.log,s30_p250_yield.txt,FAIL_STUCK,798,0,66,FAIL_STUCK,798,0,66
30,373,FAIL_STUCK,58,2578,857,1430,s30_p373_yield.log,s30_p373_yield.txt,FAIL_STUCK,1430,0,58,FAIL_STUCK,1430,0,58
30,500,FAIL_STUCK,48,2875,1058,2116,s30_p500_yield.log,s30_p500_yield.txt,FAIL_STUCK,1950,0,48,FAIL_STUCK,1950,0,48
50,125,FAIL_STUCK,58,2088,871,1740,s50_p125_yield.log,s50_p125_yield.txt,FAIL_STUCK,1820,0,58,FAIL_STUCK,1820,0,58
50,145,FAIL_STUCK,83,1720,583,885,s50_p145_yield.log,s50_p145_yield.txt,FAIL_STUCK,1164,0,83,FAIL_STUCK,1164,0,83
50,150,FAIL_STUCK,57,2388,920,1740,s50_p150_yield.log,s50_p150_yield.txt,FAIL_STUCK,2194,0,57,FAIL_STUCK,2194,0,57
50,155,FAIL_STUCK,55,2718,933,1697,s50_p155_yield.log,s50_p155_yield.txt,FAIL_STUCK,958,0,55,FAIL_STUCK,958,0,55
50,200,FAIL_STUCK,47,2640,1146,2017,s50_p200_yield.log,s50_p200_yield.txt,FAIL_STUCK,1667,0,47,FAIL_STUCK,1667,0,47
