PKT t=15985 TX ua=95 mt=P len=0
PKT t=15994 RX ua=95 mt=R len=7
PKT t=16021 TX ua=95 mt=P len=0
PKT t=16030 RX ua=95 mt=R len=7
PKT t=16035 TX ua=95 mt=P len=0
PKT t=16044 RX ua=95 mt=R len=7
PKT t=16049 TX ua=95 mt=P len=0
PKT t=16080 RX ua=95 mt=R len=7
PKT t=16085 TX ua=95 mt=P len=0
PKT t=16094 RX ua=95 mt=R len=7
PKT t=16099 TX ua=95 mt=T len=7
PKT t=16111 TX ua=95 mt=P len=0
PKT t=16120 RX ua=95 mt=R len=7
PKT t=16125 TX ua=95 mt=P len=0
PKT t=16134 RX ua=95 mt=R len=7
PKT t=16139 TX ua=95 mt=P len=0
PKT t=16166 RX ua=95 mt=R len=7
PKT t=16171 TX ua=95 mt=P len=0
PKT t=16182 RX ua=95 mt=R len=7
PKT t=16187 TX ua=95 mt=P len=0
PKT t=16196 RX ua=95 mt=R len=7
PKT t=16201 TX ua=95 mt=P len=0
PKT t=16211 RX ua=95 mt=R len=7
PKT t=16216 TX ua=95 mt=P len=0
PKT t=16225 RX ua=95 mt=R len=7
PKT t=16230 TX ua=95 mt=P len=0
PKT t=16239 RX ua=95 mt=R len=7
PKT t=16244 TX ua=95 mt=P len=0
PKT t=16253 RX ua=95 mt=R len=7
PKT t=16258 TX ua=95 mt=P len=0
PKT t=16311 RX ua=95 mt=R len=7
PKT t=16316 TX ua=95 mt=T len=7
PKT t=16328 TX ua=95 mt=P len=0
PKT t=16337 RX ua=95 mt=R len=7
PKT t=16342 TX ua=95 mt=T len=7
PKT t=16354 TX ua=95 mt=P len=0
PKT t=16387 RX ua=95 mt=R len=7
PKT t=16392 TX ua=95 mt=P len=0
PKT t=16401 RX ua=95 mt=R len=7
PKT t=16406 TX ua=95 mt=P len=0
PKT t=16415 RX ua=95 mt=R len=7
PKT t=16420 TX ua=95 mt=P len=0
PKT t=16429 RX ua=95 mt=R len=7
PKT t=16456 TX ua=95 mt=P len=0
PKT t=16487 RX ua=95 mt=R len=7
PKT t=16492 TX ua=95 mt=P len=0
PKT t=16501 RX ua=95 mt=R len=7
PKT t=16506 TX ua=95 mt=P len=0
PKT t=16515 RX ua=95 mt=R len=7
PKT t=16520 TX ua=95 mt=P len=0
PKT t=16529 RX ua=95 mt=R len=7
PKT t=16534 TX ua=95 mt=P len=0
PKT t=16543 RX ua=95 mt=R len=7
PKT t=16548 TX ua=95 mt=P len=0
PKT t=16557 RX ua=95 mt=R len=7
PKT t=16562 TX ua=95 mt=P len=0
PKT t=16601 RX ua=95 mt=R len=7
PKT t=16606 TX ua=95 mt=T len=7
PKT t=16618 TX ua=95 mt=P len=0
PKT t=16627 RX ua=95 mt=R len=7
PKT t=16632 TX ua=95 mt=P len=0
PKT t=16641 RX ua=95 mt=R len=7
PKT t=16646 TX ua=95 mt=P len=0
PKT t=16655 RX ua=95 mt=R len=7
PKT t=16660 TX ua=95 mt=P len=0
PKT t=16691 RX ua=95 mt=R len=7
PKT t=16696 TX ua=95 mt=P len=0
PKT t=16705 RX ua=95 mt=R len=7
PKT t=16710 TX ua=95 mt=P len=0
PKT t=16719 RX ua=95 mt=R len=7
PKT t=16746 TX ua=95 mt=P len=0
