PKT t=16809 RX ua=95 mt=R len=7
PKT t=16814 TX ua=95 mt=P len=0
PKT t=16843 RX ua=95 mt=R len=7
PKT t=16871 TX ua=95 mt=P len=0
PKT t=16880 RX ua=95 mt=R len=7
PKT t=16885 TX ua=95 mt=P len=0
PKT t=16894 RX ua=95 mt=R len=7
PKT t=16899 TX ua=95 mt=P len=0
PKT t=16908 RX ua=95 mt=R len=7
PKT t=16913 TX ua=95 mt=P len=0
PKT t=16942 RX ua=95 mt=R len=7
PKT t=16947 TX ua=95 mt=P len=0
PKT t=16956 RX ua=95 mt=R len=7
PKT t=16961 TX ua=95 mt=P len=0
PKT t=16970 RX ua=95 mt=R len=7
PKT t=16975 TX ua=95 mt=T len=7
PKT t=16987 TX ua=95 mt=P len=0
PKT t=16996 RX ua=95 mt=R len=7
PKT t=17001 TX ua=95 mt=P len=0
PKT t=17031 RX ua=95 mt=R len=7
PKT t=17036 TX ua=95 mt=P len=0
PKT t=17045 RX ua=95 mt=R len=7
PKT t=17050 TX ua=95 mt=P len=0
PKT t=17059 RX ua=95 mt=R len=7
PKT t=17064 TX ua=95 mt=P len=0
PKT t=17073 RX ua=95 mt=R len=7
PKT t=17078 TX ua=95 mt=P len=0
PKT t=17087 RX ua=95 mt=R len=7
PKT t=17092 TX ua=95 mt=P len=0
PKT t=17101 RX ua=95 mt=R len=7
PKT t=17106 TX ua=95 mt=P len=0
PKT t=17115 RX ua=95 mt=R len=7
PKT t=17120 TX ua=95 mt=T len=7
PKT t=17132 TX ua=95 mt=P len=0
PKT t=17151 RX ua=95 mt=R len=7
PKT t=17156 TX ua=95 mt=P len=0
PKT t=17165 RX ua=95 mt=R len=7
PKT t=17191 TX ua=95 mt=P len=0
PKT t=17200 RX ua=95 mt=R len=7
PKT t=17205 TX ua=95 mt=P len=0
PKT t=17214 RX ua=95 mt=R len=7
PKT t=17219 TX ua=95 mt=T len=7
PKT t=17231 TX ua=95 mt=P len=0
PKT t=17250 RX ua=95 mt=R len=7
PKT t=17255 TX ua=95 mt=P len=0
PKT t=17264 RX ua=95 mt=R len=7
PKT t=17269 TX ua=95 mt=P len=0
PKT t=17278 RX ua=95 mt=R len=7
PKT t=17283 TX ua=95 mt=P len=0
PKT t=17292 RX ua=95 mt=R len=7
PKT t=17297 TX ua=95 mt=P len=0
PKT t=17306 RX ua=95 mt=R len=7
